"Circles/States/UTs","Wireline Phones=Fixed DELs - 2010","Wireline Phones=Fixed DELs - 2011","Wireline Phones=Fixed DELs - 2012","Wireline Phones=Fixed DELs - 2013","Wireline Phones=Fixed DELs - 2014","Wireline Phones=Fixed DELs - 2015","Wireline Phones=Fixed DELs - 2016","Wireless Phones (GSM & CDMA) - 2010","Wireless Phones (GSM & CDMA) - 2011","Wireless Phones (GSM & CDMA) - 2012","Wireless Phones (GSM & CDMA) - 2013","Wireless Phones (GSM & CDMA) - 2014","Wireless Phones (GSM & CDMA) - 2015","Wireless Phones (GSM & CDMA) - 2016","Total Telephones - 2010","Total Telephones - 2011","Total Telephones - 2012","Total Telephones - 2013","Total Telephones - 2014","Total Telephones - 2015","Total Telephones - 2016"
"Andaman & Nicobar","0.02","NA","NA","NA","NA","NA","NA","0.13","NA","NA","NA","NA","NA","NA","0.15","NA","NA","NA","NA","NA","NA"
"Andhra Pradesh","2.46","2.37","2.36","2.24","2.04","1.87","1.74","45.62","60.68","66.83","64.36","67.15","71.95","74.65","48.08","63.05","69.19","66.6","69.19","73.82","76.39"
"Assam","0.31","0.26","0.23","0.19","0.18","0.17","0.16","8.76","11.67","14.21","14.39","15.28","17.15","18.56","9.07","11.93","14.44","14.58","15.46","17.32","18.72"
"Bihar","0.97","1.2","0.61","0.39","0.38","0.36","0.33","35.66","53.54","63.48","60.3","61.59","69.31","74.51","36.63","54.74","64.09","60.7","61.97","69.67","74.84"
"Chhatisgarh","0.27","NA","NA","NA","NA","NA","NA","1.11","NA","NA","NA","NA","NA","NA","1.38","NA","NA","NA","NA","NA","NA"
"Gujarat","2.08","1.95","1.83","1.79","1.69","1.55","0.41","32.35","46.96","53.32","51.69","54.54","58.56","62.27","34.43","48.9","55.15","53.49","56.23","60.11","63.68"
"Haryana","0.82","0.65","0.59","0.56","0.5","0.41","0.37","14.13","20.39","22.56","19.54","21.25","22.01","23.26","14.95","21.04","23.15","20.1","21.75","22.42","23.63"
"Himachal Pradesh","0.36","0.34","0.31","0.28","0.25","0.21","0.17","4.99","7.22","7.97","7.02","7.12","7.86","8.89","5.35","7.55","8.28","7.3","7.37","8.07","9.06"
"Jammu & Kashmir","0.23","0.22","0.2","0.2","0.19","0.15","0.13","5.55","5.75","6.31","6.84","7.94","9.31","9.82","5.78","5.97","6.51","7.04","8.13","9.46","9.95"
"Jharkhand","0.41","NA","NA","NA","NA","NA","NA","1.31","NA","NA","NA","NA","NA","NA","1.72","NA","NA","NA","NA","NA","NA"
"Karnataka","2.78","2.74","2.69","2.44","2.32","2.28","2.26","37.13","49.45","55.71","52.91","54.32","58.05","61.34","39.91","52.19","58.41","55.36","56.64","60.33","63.6"
"Kerala","3.46","3","3.19","3.06","2.89","2.59","2.3","24.19","31.36","34.01","30.69","31.12","31.35","34.31","27.65","34.66","37.21","33.76","34.01","33.94","36.61"
"Madhya Pradesh","1.3","1.38","1.14","1.12","1.1","1.11","1.04","30.87","45.83","51.62","52.16","55.48","60.6","65.67","32.17","47.21","52.76","53.28","56.58","61.71","66.72"
"Maharashtra","3.01","2.85","2.65","2.47","2.31","2.12","1.99","43.52","61.72","70.47","68.4","72.59","76.94","84.1","46.53","64.57","73.12","70.87","74.9","79.06","86.09"
"North-East - I","0.2","0.27","0.25","0.19","0.14","0.13","0.12","4.74","7.18","8.52","8.96","9.41","10.5","11.07","4.94","7.45","8.77","9.15","9.55","10.63","11.2"
"North-East - II","0.13","NA","NA","NA","NA","NA","NA","0.57","NA","NA","NA","NA","NA","NA","0.7","NA","NA","NA","NA","NA","NA"
"Orissa","0.61","0.57","0.46","0.37","0.35","0.32","0.31","15.27","22.42","26.62","24.6","25.13","27.87","29.06","15.88","22.99","27.08","24.98","25.47","28.19","29.37"
"Punjab","1.6","1.58","1.44","1.32","1.22","1.12","1.06","20.1","28.76","31.95","29.46","31.21","30.63","31.75","21.7","30.34","33.4","30.78","32.43","31.75","32.81"
"Rajasthan","1.53","1.29","1.16","1.01","0.92","0.82","0.79","33.74","43.1","49.16","48.6","52.65","55.21","60.09","35.27","44.39","50.32","49.61","53.57","56.03","60.88"
"Tamil Nadu","2.11","1.98","3.19","3.11","2.91","2.76","2.64","42.34","56.73","77.68","72.41","75.17","80.32","81.35","44.45","58.71","80.87","75.52","78.09","83.08","83.99"
"Uttarakhand","0.28","NA","NA","NA","NA","NA","NA","1.08","NA","NA","NA","NA","NA","NA","1.36","NA","NA","NA","NA","NA","NA"
"Uttar Pradesh - [E]","1.5","1.48","1.27","1.05","0.8","0.51","0.5","44.03","63.68","75.07","73.82","76.98","83.4","92.21","45.53","65.15","76.35","74.87","77.78","83.91","92.74"
"Uttar Pradesh - [W]","1.04","0.86","0.8","0.77","0.54","0.48","0.43","29.57","45.77","53.64","48.4","48.76","52.02","57.6","30.61","46.62","54.43","49.17","49.3","52.5","58.03"
"West Bengal","0.89","0.76","0.68","0.55","0.51","0.44","0.37","25.04","39.66","46.27","41.16","42.29","47.07","49.5","25.93","40.42","46.95","41.71","42.8","47.51","49.87"
"Kolkatta","1.46","1.4","1.18","1.14","1.08","1","0.91","16.4","23.21","24.99","21.26","21.07","22.56","25.03","17.86","24.61","26.17","22.4","22.15","23.56","25.93"
"Chennai","1.47","1.48","NA","NA","NA","NA","NA","11.35","12.9","NA","NA","NA","NA","NA","12.82","14.38","NA","NA","NA","NA","NA"
"Delhi","2.71","2.84","2.91","2.96","3.1","3.14","3.17","28.3","38.82","42.49","40.43","42.58","46.19","47.24","31.01","41.66","45.4","43.39","45.69","49.33","50.42"
